,ITEM_NAME,ITEM_BRAND,ITEM_PRICE,ITEM_IMG,CATEGORY,ITEM_STATUES,YEAR,MONTH
46,Papaya(M) Soap Bar 3*1 135 gm,Papaya(M),12.55,"https://www.nahdionline.com/media/catalog/product/1/0/100656162_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
47,Sulzano Soap Sulphur 135 gm,Sulzano,25.2,"https://www.nahdionline.com/media/catalog/product/1/0/100559611_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
48,Papaya(M) Soap Bar 5*1 135 gm,Papaya(M),12.55,"https://www.nahdionline.com/media/catalog/product/1/0/100627329_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
49,Nahdi Antibacterial Hand Wash Sensitive Olive Extract 500 ml,Nahdi,20.95,"https://www.nahdionline.com/media/catalog/product/1/0/101139618_0_2.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,liquid,2020,3
50,Payot Hand Cream 50 ml,Payot,100.8,"https://www.nahdionline.com/media/catalog/product/1/0/101209903_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,liquid,2020,3
51,Dettol Liquid Soap Skin Care (Pump) 250/200 ml,Dettol,15.7,"https://www.nahdionline.com/media/catalog/product/1/0/100524119_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
52,Natura Siberica Nourishing Cream Soap 500 ml,Natura Siberica,25.9,"https://www.nahdionline.com/media/catalog/product/1/0/101259556_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
53,Natura Siberica Hydrating Cream Soap 500 ml,Natura Siberica,25.9,"https://www.nahdionline.com/media/catalog/product/1/0/101259564_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
54,Natura Siberica Softening Cream Soap 500 ml,Natura Siberica,25.9,"https://www.nahdionline.com/media/catalog/product/1/0/101259548_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
55,Dove Soap Cucumber & Green Tea 135 gm,Dove,7.95,"https://www.nahdionline.com/media/catalog/product/1/0/100551731_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
56,Papaya Soap Fruity 135 gm 4*1,Papaya,12.55,"https://www.nahdionline.com/media/catalog/product/1/0/100559143_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
57,Papaya Soap Nature Pure Fruity 135 gm 6*1,Papaya,12.55,"https://www.nahdionline.com/media/catalog/product/1/0/100559160_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
58,Papaya Soap Nature Pure 135 gm 5*1,Papaya,12.55,"https://www.nahdionline.com/media/catalog/product/1/0/100559151_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
59,Lifebuoy Soap Mild Care 125 gm,Lifebuoy,7.88,"https://www.nahdionline.com/media/catalog/product/1/0/100523685_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
60,Bioderma Soap Sebium Pain 100 gm,Bioderma,57.75,"https://www.nahdionline.com/media/catalog/product/1/0/100622587_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
61,Naturania Moroccan Soup With Olive Oil 200 gm,Naturania,29.4,"https://www.nahdionline.com/media/catalog/product/1/0/101222251_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
62,Dove Nourishing Hand Wash 500 ml,Dove,23.5,"https://www.nahdionline.com/media/catalog/product/1/0/101222227_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,liquid,2020,3
63,Dettol Soap Bar Original 3+ 1 Free 165/175 gm,Dettol,26.69,"https://www.nahdionline.com/media/catalog/product/1/0/100629210_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
64,Yang Chain Soap Milk & Yogurt With Papaya 100 gm,Yang Chain,12.55,"https://www.nahdionline.com/media/catalog/product/1/0/100825317_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
65,Yang Chain Soap Black Seed With Papaya 100 gm,Yang Chain,12.55,"https://www.nahdionline.com/media/catalog/product/1/0/100625681_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
66,Papaya(M) Soap Bar 4*1 135 gm,Papaya(M),12.55,"https://www.nahdionline.com/media/catalog/product/1/0/100627311_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
67,Yang Chain Milk Whitening Soap + Vitamin E 100 gm,Yang Chain,12.6,"https://www.nahdionline.com/media/catalog/product/1/0/101119641_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
68,Sebamed Soap Cleansing.Bar Sensitive Skin 150 ml,Sebamed,17.85,"https://www.nahdionline.com/media/catalog/product/1/0/100526616_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
69,Beesline Soap Acne 85 gm,Beesline,23.1,"https://www.nahdionline.com/media/catalog/product/1/0/100559848_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
70,Avene Soap With Cold Cream 100 gm,Avene,57.75,"https://www.nahdionline.com/media/catalog/product/1/0/100552671_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
71,Yc Pure Herbal Papaya Saop Promo Pack 2+1,Yang Chain,25.2,"https://www.nahdionline.com/media/catalog/product/1/0/101168945_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
72,Qv Soap Refresh For All Skin Types 100 gm,Ego,40.95,"https://www.nahdionline.com/media/catalog/product/1/0/100585528_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
73,Breathe Whitening Scrubbing Soap 120 gm,Breathe,57.75,"https://www.nahdionline.com/media/catalog/product/1/0/101013177_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
74,Lux Liquid Soap Velvet Touch Soft & Smooth 500 ml,Lux,14.96,"https://www.nahdionline.com/media/catalog/product/1/0/100624831_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
75,Beesline Soap Facial Exfoliating 60 gm,Beesline,17.85,"https://www.nahdionline.com/media/catalog/product/1/0/100531870_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
76,Viora Handwash With Berries Extract 500 ml,Viora,14.65,"https://www.nahdionline.com/media/catalog/product/1/0/101119617_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,liquid,2020,3
77,Dettol Liquid Soap Fresh (Pump) 250/200 ml,Dettol,15.7,"https://www.nahdionline.com/media/catalog/product/1/0/100522480_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
78,Beesline Soap Whitening & Exfoliating 100 gm,Beesline,23.1,"https://www.nahdionline.com/media/catalog/product/1/0/100531888_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
79,Johnson Soap Bar Vita-Rich With Grapeseed Oil 125 mg,Johnson & Johnson,3.68,"https://www.nahdionline.com/media/catalog/product/1/0/101040335_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
80,Yang Chain Extra Whitening Soap + Vitamin C & E 100 gm,Yang Chain,12.6,"https://www.nahdionline.com/media/catalog/product/1/0/101119650_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
81,Zara Dead Sea Salts Blue 1000 gm,Zara,84.0,"https://www.nahdionline.com/media/catalog/product/1/0/100551889_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
